local,stay_time,hour
1,12,9
2,13,9
3,11,9
4,9,9
5,7,9
6,8,9
1,13,10
2,11,10
3,9,10
4,9,10
5,9,10
6,9,10
1,12,11
2,9,11
3,8,11
4,9,11
5,11,11
6,10,11
1,13,12
2,11,12
3,8,12
4,9,12
5,9,12
6,10,12
1,12,13
2,10,13
3,7,13
4,12,13
5,9,13
6,10,13
1,12,14
2,11,14
3,10,14
4,10,14
5,10,14
6,8,14
1,12,15
2,10,15
3,11,15
4,9,15
5,9,15
6,9,15
1,12,16
2,11,16
3,11,16
4,9,16
5,8,16
6,9,16
1,13,17
2,10,17
3,9,17
4,7,17
5,12,17
6,9,17
1,12,18
2,11,18
3,11,18
4,9,18
5,9,18
6,8,18
1,13,19
2,11,19
3,10,19
4,7,19
5,9,19
6,10,19
1,13,20
2,10,20
3,8,20
4,10,20
5,10,20
6,9,20
1,12,21
2,11,21
3,10,21
4,10,21
5,9,21
6,8,21
